DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
3/23/22 14:00:14,20.86478,5.50E-02,2.732077,196.8309,100.9838,59.14602,31.47952,2.584168,2.584186,2.584437,2.584268,2.584086,2.584418,2.584011,2.584103,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:15,20.86494,5.46E-02,2.732303,210.715,100.9833,59.14594,31.48112,2.584185,2.584305,2.584487,2.584261,2.584126,2.584387,2.583951,2.584074,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:16,20.86507,5.50E-02,2.732316,187.7726,100.9825,59.1449,31.48187,2.584177,2.584291,2.584476,2.584288,2.584084,2.58433,2.584009,2.584146,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:17,20.86503,5.47E-02,2.731963,194.6674,100.9824,59.1458,31.47885,2.584183,2.584284,2.58448,2.584256,2.584211,2.584414,2.584049,2.584157,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:18,20.86502,5.47E-02,2.731817,205.403,100.982,59.14376,31.47852,2.584169,2.584267,2.584372,2.584331,2.5841,2.584329,2.584087,2.584138,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:19,20.86506,5.53E-02,2.731679,211.1558,100.9823,59.14204,31.47814,2.584244,2.584249,2.584468,2.584294,2.584166,2.584368,2.584096,2.584134,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:20,20.86497,5.52E-02,2.731679,194.4925,100.9823,59.14514,31.47967,2.58424,2.584314,2.584423,2.584297,2.584133,2.584385,2.58399,2.584134,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:21,20.86478,5.53E-02,2.731967,204.9658,100.9832,59.14626,31.47841,2.584209,2.584296,2.584512,2.584247,2.58412,2.584334,2.583992,2.584146,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:22,20.86472,5.55E-02,2.731633,195.5808,100.9841,59.14648,31.47652,2.584201,2.584222,2.58439,2.584309,2.584141,2.584414,2.584005,2.584107,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:23,20.86476,5.51E-02,2.731469,199.6216,100.9836,59.14785,31.47506,2.584185,2.584244,2.584443,2.584375,2.584135,2.584418,2.584032,2.584168,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:24,20.86472,5.50E-02,2.732027,210.0374,100.9837,59.14618,31.47916,2.584175,2.584232,2.584419,2.584332,2.584075,2.584414,2.584054,2.584177,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:25,20.86475,5.51E-02,2.731716,215.3322,100.9841,59.14979,31.47514,2.584249,2.584283,2.584468,2.584265,2.584136,2.584395,2.583965,2.584116,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:26,20.86479,5.47E-02,2.731594,189.0768,5.58E-31,59.1454,31.47647,2.584218,2.584326,2.584406,2.584262,2.584055,2.584379,2.584035,2.584113,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:27,20.86475,5.50E-02,2.732072,190.1321,100.9854,59.14702,31.4792,2.584227,2.584265,2.58445,2.584285,2.584102,2.584397,2.584065,2.58407,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:28,20.86468,5.58E-02,2.731518,206.3316,100.9861,59.14598,31.47594,2.584213,2.584262,2.584488,2.584303,2.584046,2.584421,2.584066,2.584106,-1000,-1000,-1000,-1000,0,-1
