DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
3/15/22 13:27:35,20.83685,5.48E-02,2.844768,210.5291,101.4563,60.10163,31.90979,2.584231,2.584247,2.58441,2.584214,2.584141,2.584388,2.584099,2.584115,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:36,20.8369,5.51E-02,2.844743,219.1108,101.4559,60.10109,31.90979,2.584109,2.584251,2.584439,2.584211,2.584126,2.584454,2.583974,2.584135,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:37,20.83662,5.53E-02,2.844484,191.7361,101.4572,60.10368,31.90784,2.584207,2.58429,2.584438,2.584232,2.58409,2.584401,2.583989,2.584094,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:38,20.8367,5.49E-02,2.845082,174.3206,101.456,60.1072,31.91151,2.584234,2.584233,2.584502,2.584316,2.58411,2.58437,2.584043,2.584106,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:39,20.8368,0.0544588,2.844794,191.3815,101.4551,60.10717,31.90832,2.584212,2.58432,2.58445,2.584338,2.584086,2.584418,2.584062,2.584107,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:40,20.83692,0.0544516,2.84519,187.3588,101.4551,60.11016,31.9099,2.584238,2.584295,2.584474,2.584285,2.584133,2.58439,2.58401,2.584116,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:41,20.83701,5.42E-02,2.844726,194.7135,101.455,60.11213,31.90644,2.584233,2.584228,2.584419,2.5843,2.584143,2.584414,2.584057,2.58424,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:42,20.83702,5.41E-02,2.844931,190.118,101.456,60.11417,31.90719,2.584225,2.584272,2.584472,2.584257,2.584156,2.58439,2.584058,2.584111,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:43,20.83744,5.47E-02,2.845393,203.3082,101.4545,60.116,31.90787,2.584224,2.58424,2.584355,2.584305,2.584173,2.58443,2.584011,2.584105,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:44,20.83772,5.55E-02,2.845283,207.22,101.4538,60.1186,31.908,2.584241,2.584297,2.584455,2.584207,2.584187,2.584375,2.583988,2.584207,-1000,-1000,-1000,-1000,0,-1
3/15/22 13:27:45,20.83803,5.55E-02,2.845302,203.3521,101.4539,60.11728,31.90851,2.584125,2.584293,2.584391,2.584276,2.584118,2.584392,2.584039,2.584153,-1000,-1000,-1000,-1000,0,-1
