DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
3/3/22 13:28:17,20.83753,6.74E-02,2.747898,187.5576,102.0466,59.65057,31.43163,2.584272,2.584227,2.584415,2.584286,2.584141,2.584404,2.583982,2.584165,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:18,20.83775,6.75E-02,2.747958,195.0381,102.0462,59.65352,31.43114,2.584133,2.584251,2.584432,2.584236,2.584127,2.584388,2.584054,2.584161,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:19,20.83764,6.82E-02,2.748218,203.9078,102.0458,59.65261,31.43266,2.58421,2.58425,2.5844,2.584324,2.584126,2.584372,2.584034,2.58408,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:20,20.83766,6.79E-02,2.748598,221.0347,102.0455,59.6548,31.43462,2.584193,2.584238,2.584357,2.584283,2.584143,2.584364,2.584,2.584031,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:21,20.83794,6.73E-02,2.749005,218.8655,102.0457,59.65623,31.43705,2.584144,2.584288,2.584427,2.584294,2.584072,2.584427,2.584017,2.584098,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:22,20.83758,6.76E-02,2.748849,206.6719,102.0462,59.66019,31.43488,2.58422,2.584314,2.58442,2.584296,2.584203,2.584362,2.584001,2.584136,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:23,20.83758,6.78E-02,2.748376,181.3676,102.0465,59.66089,31.43145,2.584198,2.584272,2.584494,2.58433,2.58412,2.584378,2.584018,2.584166,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:24,20.8376,0.067787,2.748189,198.1729,102.0469,59.66345,31.43123,2.584155,2.5843,2.584496,2.584281,2.584116,2.584397,2.583943,2.584104,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:25,20.83761,6.82E-02,2.748204,212.2117,102.047,59.66465,31.42974,2.584183,2.584273,2.584387,2.584245,2.584077,2.584369,2.584068,2.584131,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:26,20.83771,6.81E-02,2.74791,208.4045,102.0461,59.66525,31.42737,2.584198,2.584205,2.584486,2.584297,2.584101,2.584415,2.584025,2.584192,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:27,20.8376,0.0689035,2.747488,181.343,102.046,59.66328,31.42525,2.584191,2.584202,2.584439,2.584302,2.584107,2.584404,2.583977,2.584085,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:28,20.83773,6.97E-02,2.748034,195.292,102.0453,59.66375,31.42881,2.584265,2.584254,2.58441,2.584326,2.584104,2.584409,2.583992,2.584035,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:29,20.838,0.0701059,2.748092,210.519,102.045,59.66419,31.43028,2.584202,2.584273,2.584471,2.584288,2.584099,2.58437,2.584074,2.58411,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:30,20.83789,7.09E-02,2.748411,210.006,102.0454,59.6642,31.43088,2.584248,2.584264,2.584458,2.584294,2.58415,2.584429,2.584029,2.584082,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:31,20.83775,7.11E-02,2.747895,196.9645,102.046,59.66097,31.42853,2.584187,2.584286,2.584432,2.584285,2.584175,2.584411,2.584064,2.584135,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:32,20.83786,7.21E-02,2.747367,192.5388,102.046,59.6567,31.42641,2.584118,2.584246,2.584425,2.584239,2.584107,2.584435,2.584008,2.584126,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:33,20.83791,0.0725109,2.747418,198.431,102.045,59.65657,31.42678,2.584192,2.58431,2.584445,2.584187,2.584097,2.584377,2.583975,2.584173,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:34,20.83792,7.32E-02,2.747351,210.7254,102.0452,59.65611,31.42648,2.584209,2.5842,2.584496,2.584276,2.584157,2.58439,2.584038,2.584177,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:35,20.83764,7.34E-02,2.747415,216.0191,102.046,59.66066,31.42555,2.584158,2.584296,2.584431,2.584281,2.584091,2.584374,2.584022,2.584119,-1000,-1000,-1000,-1000,0,-1
3/3/22 13:28:36,20.83783,7.36E-02,2.747846,215.7289,102.0453,59.6639,31.42736,2.584206,2.584306,2.584462,2.584213,2.58407,2.58437,2.584032,2.584141,-1000,-1000,-1000,-1000,0,-1
