DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
3/21/22 13:19:14,20.8572,6.20E-02,2.776559,197.6568,101.7461,60.64536,31.32316,2.584139,2.584162,2.58441,2.584297,2.584121,2.584414,2.58403,2.584169,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:15,20.85749,6.18E-02,2.776921,184.0146,101.7446,60.64647,31.32513,2.584232,2.584213,2.584446,2.584284,2.584158,2.584336,2.58405,2.584036,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:16,20.85777,0.0612194,2.776496,179.887,101.7435,60.64305,31.32343,2.584304,2.584292,2.58438,2.584286,2.584117,2.584418,2.583964,2.584147,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:17,20.85781,6.15E-02,2.775773,197.0803,101.7428,60.63785,31.32036,2.584175,2.584225,2.584519,2.584245,2.584125,2.58444,2.584074,2.584123,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:18,20.85794,6.13E-02,2.776143,205.0397,101.743,60.63982,31.32213,2.584202,2.584258,2.58448,2.584378,2.584107,2.584395,2.584035,2.584095,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:19,20.85769,6.19E-02,2.776028,193.0375,101.744,60.64003,31.32135,2.584145,2.584203,2.584405,2.584228,2.584128,2.584461,2.584066,2.584097,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:20,20.85715,6.16E-02,2.775686,193.3015,101.7451,60.64057,31.31902,2.584185,2.584267,2.584419,2.584246,2.584122,2.584364,2.58399,2.584052,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:21,20.8575,0.0613603,2.775626,208.9045,101.7444,60.64275,31.318,2.584187,2.584245,2.584426,2.584285,2.584141,2.584357,2.584092,2.584109,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:22,20.8574,6.13E-02,2.775919,220.4406,101.7443,60.64357,31.31963,2.584266,2.584287,2.584414,2.584286,2.584132,2.584381,2.584055,2.584141,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:23,20.85731,6.12E-02,2.775864,194.96,101.7449,60.64208,31.31884,2.584229,2.584248,2.584343,2.584301,2.584134,2.584337,2.583992,2.584078,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:24,20.85731,6.11E-02,2.775402,191.4175,101.7454,60.6387,31.3153,2.584279,2.584252,2.584416,2.584311,2.584174,2.584356,2.584058,2.584105,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:25,20.85697,6.16E-02,2.774995,202.3965,101.7454,60.63676,31.31575,2.584193,2.584219,2.58446,2.584324,2.584143,2.584359,2.58408,2.584141,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:26,20.85723,0.0618448,2.774521,198.1129,101.7453,60.63721,31.31261,2.584236,2.584242,2.584412,2.584311,2.584146,2.584388,2.584018,2.584081,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:27,20.85738,6.18E-02,2.774276,192.5229,101.7441,60.63932,31.31045,2.584179,2.584227,2.584456,2.584282,2.584038,2.58446,2.58407,2.584152,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:28,20.85795,6.17E-02,2.775028,209.4796,101.7442,60.64037,31.31457,2.584179,2.584228,2.584498,2.584298,2.584126,2.584374,2.583972,2.58411,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:29,20.85768,6.13E-02,2.775307,206.5375,101.7439,60.63985,31.31738,2.58428,2.584265,2.58443,2.584344,2.584147,2.584414,2.584029,2.584103,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:30,20.85779,6.16E-02,2.77581,188.5035,101.743,60.63789,31.32105,2.584274,2.584293,2.584402,2.584317,2.584094,2.584329,2.584067,2.584158,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:31,20.85779,6.12E-02,2.775706,218.0287,101.7403,60.63841,31.31977,2.584284,2.584213,2.584461,2.584282,2.584177,2.584394,2.583986,2.584224,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:32,20.85885,6.18E-02,2.775386,189.9138,101.7382,60.63968,31.31737,2.584231,2.584261,2.584414,2.584299,2.58415,2.584433,2.583982,2.584172,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:33,20.8592,6.20E-02,2.775431,196.5928,101.7353,60.64142,31.31726,2.584246,2.584267,2.58442,2.58429,2.584095,2.584455,2.584002,2.584172,-1000,-1000,-1000,-1000,0,-1
3/21/22 13:19:34,20.85909,6.16E-02,2.775324,200.5667,101.7351,60.64232,31.31605,2.584273,2.584208,2.584413,2.584321,2.58411,2.584431,2.584025,2.584194,-1000,-1000,-1000,-1000,0,-1
